frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2807,1393.0,[2713.9353958321913 1354.3371011745892 3501.850086007303 2162.6124960377147],[3109.735107421875 2030.8487548828125 3284.335693359375 2121.548828125],0.6468502879142761,II(6531,0.20748330443105154
2808,1393.0,[2718.019696062603 1359.5864653503122 3510.0251312758487 2161.6387621140775],[3121.0439453125 2052.193359375 3287.4921875 2138.8916015625],0.6638108491897583,CII6531,0.13909357322306165
2841,1510.0,[1414.3260452946984 994.2505153218215 1956.0048831012855 1596.5117988778723],[1617.2508544921875 1415.1806640625 1748.1236572265625 1478.7763671875],0.4081368148326874,IOG5041,0.03936600142088679
2900,1605.0,[1240.4226794969397 1230.4437873783072 1943.482697061436 2094.2820395091376],[1496.96044921875 1927.4765625 1663.765869140625 2000.75830078125],0.6488814949989319,DND6000,0.4730216968845904
2905,1605.0,[1230.0396630547225 1304.1885185748772 1936.8620406545638 2121.129553096282],[1481.408447265625 1984.2886962890625 1653.0765380859375 2064.9208984375],0.6428700685501099,DAD6000,0.45120145036933434
3009,1667.0,[1321.9226418513047 1228.3387490747482 1835.81891520871 1730.0505668941823],[1509.25341796875 1586.5810546875 1665.810791015625 1648.93359375],0.3360460698604584,ACJ7563,0.02999259477736572
3011,1667.0,[1321.079642276329 1265.2138652222684 1834.825832978335 1747.7758093809493],[1521.4559326171875 1599.3922119140625 1653.4130859375 1667.9520263671875],0.26100271940231323,ATD7568,0.04516726859233171
3012,1667.0,[1323.9099625887438 1266.4289665146866 1840.3596699750287 1743.9757477963067],[1521.260986328125 1600.0836181640625 1662.4141845703125 1670.15478515625],0.3174522817134857,UED7518,0.012786851788073351
3027,1677.0,[1298.097715541381 1345.7833842538494 1872.8694770663972 1918.7296532037817],[1515.6201171875 1748.1793212890625 1672.277587890625 1810.17919921875],0.26094552874565125,ICP7563,0.2652042661175359
3035,1677.0,[1299.3655255229605 1382.3542535198521 1877.232878417723 1970.4477407234217],[1503.5477294921875 1805.8890380859375 1661.766357421875 1877.8421630859375],0.29140523076057434,XCB7563,0.2030099449200407
3039,1677.0,[1298.2208217663117 1427.181200052755 1885.117450091079 2019.8115630906425],[1519.505859375 1841.7410888671875 1668.240966796875 1913.890869140625],0.27861565351486206,TCP7563,0.2830976425303593
3040,1677.0,[1296.6654087559864 1440.9182642417102 1884.480159593938 2029.3244700820567],[1504.0263671875 1851.73095703125 1660.489990234375 1923.791015625],0.373974084854126,XCP7563,0.23305347400523382
3253,1705.0,[1668.1598303280518 1384.3269987017322 2313.0425723907438 2023.2260955854729],[1913.751708984375 1908.7745361328125 2060.323974609375 1990.891845703125],0.6753382086753845,SO)5640,0.08585609023973227
3570,1729.0,[1748.6423827547947 820.2587144129097 2187.50327513953 1293.3178353985804],[1884.0150146484375 1167.0146484375 2021.7711181640625 1221.9755859375],0.47530362010002136,MII1053,0.15906307513030704
3594,1729.0,[1691.594719058935 911.245609514826 2188.406219573144 1464.0945058287757],[1855.3076171875 1319.0927734375 2010.235595703125 1376.53369140625],0.47836747765541077,OTI7438,0.1100974805104805
3610,1729.0,[1651.7751853628974 1000.4731787659377 2192.3150587209416 1576.9390896615798],[1843.604736328125 1457.83642578125 1985.633056640625 1513.31591796875],0.5256741642951965,WIZ7488,0.06306018907459872
4045,1895.0,[1766.8425805756044 1179.7954916917326 2287.311051904691 1680.7612403135174],[1990.735107421875 1564.6702880859375 2110.06494140625 1630.4783935546875],0.5443477630615234,ONN3569,0.014985883898059939
4065,1895.0,[1777.3433808602758 1248.2689268163524 2324.8195527977896 1780.1895560559085],[2006.98681640625 1661.1492919921875 2151.425537109375 1737.9290771484375],0.5869207978248596,LDJ5691,0.1223344405695854
4075,1895.0,[1790.3431377379825 1295.6075713003158 2351.159666936804 1848.789966109294],[2026.65673828125 1711.0382080078125 2165.79150390625 1788.6002197265625],0.5422632694244385,WDD3569,0.10291703124029195
4079,1895.0,[1790.2109102170589 1315.3781703596565 2360.919378289692 1877.4905238714882],[2033.0767822265625 1728.254638671875 2172.58251953125 1822.239013671875],0.36296546459198,WDD3569,0.2656845654443043
4080,1895.0,[1790.2367694007376 1317.4171949834852 2363.4705096166767 1881.595722282357],[2034.0966796875 1751.646240234375 2163.84765625 1823.7626953125],0.6000807881355286,ADD3569,0.4139200597051017
4087,1895.0,[1788.0638040259687 1337.6074284468298 2378.433516204935 1915.2430758315024],[2029.19970703125 1777.699951171875 2184.87890625 1882.434814453125],0.4948504567146301,NDD3569,0.28073950573636236
4089,1895.0,[1789.8948237344493 1350.398201337448 2381.0865071984017 1929.9320054768364],[2037.074951171875 1801.9193115234375 2198.66845703125 1881.58154296875],0.6125771999359131,NDD3569,0.16619829891248727
4092,1895.0,[1788.9539610818047 1363.4447406614806 2386.1609640198967 1951.5606716675654],[2049.25439453125 1820.5771484375 2192.61572265625 1898.553466796875],0.5598236918449402,NDD3569,0.14626434047199208
4094,1895.0,[1786.4764628852026 1371.5214838388247 2391.3304558275267 1964.5372274997053],[2056.710693359375 1837.745361328125 2209.9462890625 1918.6527099609375],0.6055177450180054,NID3569,0.13368588800126827
4095,1895.0,[1787.9101577483314 1377.4565838149676 2395.7029046964985 1973.7659651768902],[2046.6932373046875 1851.5537109375 2215.361328125 1932.73828125],0.597641110420227,NDD3569,0.47031864703513626
4101,1895.0,[1797.9104377234426 1408.9075148078996 2413.281811027564 2011.0529986219199],[2070.50146484375 1886.62939453125 2221.51416015625 1962.468017578125],0.5769696235656738,MPO3569,0.2484530567428487
4102,1895.0,[1798.376205522493 1414.7832172789902 2416.221323888861 2016.9062635767548],[2073.44140625 1881.2318115234375 2218.19482421875 1987.8548583984375],0.481008380651474,NDD3569,0.2415224171873164
4103,1895.0,[1799.8869306907109 1420.1382803658278 2420.645743672111 2028.3733822958777],[2076.86669921875 1898.193603515625 2224.51708984375 1976.8681640625],0.5894200801849365,NDD3569,0.13005623764820404
4104,1895.0,[1802.0876946094459 1424.014698827136 2425.161771520099 2040.7427664112877],[2069.403564453125 1901.818359375 2231.78271484375 1985.36279296875],0.5702670812606812,NDD3569,0.12395543509502835
