                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2791,                 1.3203,                 1.2241,                0.92438,                0.88031,                0.93553,                0.57711,                 1.3413,                 0.7827,                 1.2894,              0.0006658,              0.0006658,              0.0006658
                      1,                  1.259,                0.76252,                  1.242,                0.95438,                0.90398,                0.94525,                0.55912,                 1.4336,                0.68029,                 1.3575,                0.00125,                0.00125,                0.00125
                      2,                 1.2541,                0.72004,                 1.2458,                0.94514,                0.90159,                0.95449,                0.60001,                 1.3323,                0.65302,                 1.2775,              0.0017517,              0.0017517,              0.0017517
                      3,                 1.2285,                0.68428,                  1.235,                0.97302,                0.90018,                0.95778,                0.62355,                   1.26,                0.59346,                 1.2316,              0.0016287,              0.0016287,              0.0016287
                      4,                 1.2035,                0.64972,                 1.2215,                0.96071,                0.91557,                0.96135,                0.62294,                 1.2781,                0.56597,                 1.2345,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.1813,                0.61628,                 1.2068,                0.95394,                0.89966,                  0.944,                0.55432,                 1.4611,                0.63734,                 1.3905,               0.001505,               0.001505,               0.001505
                      6,                 1.1495,                0.53696,                 1.2453,                0.97374,                0.91839,                0.96608,                0.65891,                 1.1973,                0.53013,                 1.1946,              0.0013813,              0.0013813,              0.0013813
                      7,                 1.1269,                0.50716,                 1.2336,                 0.9704,                0.92866,                0.96768,                0.65781,                 1.1916,                0.51177,                 1.2004,              0.0012575,              0.0012575,              0.0012575
                      8,                 1.1027,                0.48814,                 1.2182,                 0.9779,                0.93475,                0.97343,                0.66212,                 1.1878,                0.48094,                 1.1873,              0.0011337,              0.0011337,              0.0011337
                      9,                 1.0892,                0.46863,                 1.2029,                0.96571,                0.94633,                0.97262,                0.66456,                 1.1655,                0.48394,                  1.177,                0.00101,                0.00101,                0.00101
                     10,                 1.0687,                0.44746,                 1.1928,                0.97296,                0.94479,                0.97571,                0.67209,                  1.176,                0.45545,                 1.1802,             0.00088625,             0.00088625,             0.00088625
                     11,                 1.0507,                0.43199,                 1.1786,                0.97588,                0.95165,                0.97791,                0.68066,                 1.1474,                 0.4384,                   1.16,              0.0007625,              0.0007625,              0.0007625
                     12,                  1.036,                 0.4182,                 1.1709,                0.97956,                0.94343,                0.97688,                0.68391,                 1.1381,                0.44411,                 1.1588,             0.00063875,             0.00063875,             0.00063875
                     13,                 1.0193,                0.40883,                 1.1585,                0.97972,                0.95074,                0.97766,                0.68405,                 1.1423,                 0.4304,                 1.1558,               0.000515,               0.000515,               0.000515
                     14,                 1.0065,                0.39642,                 1.1501,                0.97461,                0.95822,                0.97974,                0.69315,                 1.1293,                0.41233,                 1.1528,             0.00039125,             0.00039125,             0.00039125
                     15,                0.98777,                0.38197,                 1.1401,                0.98352,                0.94557,                0.97971,                0.69367,                 1.1285,                 0.4155,                  1.151,              0.0002675,              0.0002675,              0.0002675
