frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
739,174.0,[906.6130047454053 387.31773787618226 1232.827754084481 757.729478636538],[1020.8706665039062 679.4635009765625 1094.6416015625 722.0833129882812],0.39184096455574036,CCJ1163,0.028282736962520726
746,174.0,[888.1266073689699 418.7988457109944 1230.164356015388 800.7080707052048],[1006.0250244140625 731.4354858398438 1082.31005859375 766.1182250976562],0.6086558699607849,ZCE2005,0.46414936891226105
754,174.0,[865.0172602415803 455.2522693049218 1231.9462444058906 864.0523635972195],[993.9217529296875 793.6153564453125 1075.2784423828125 832.8233642578125],0.5870826840400696,EOF2009,0.09697669404368485
755,174.0,[862.8022760475069 459.9933253806346 1233.1494658830452 871.4656472219067],[994.7341918945312 795.9537963867188 1068.2236328125 849.5590209960938],0.4683821499347687,CBI2003,0.30337973832588894
757,174.0,[856.3300671256413 472.2839930931161 1232.7972633555357 888.9502755189249],[974.9130859375 813.1168212890625 1066.3431396484375 864.4720458984375],0.27463698387145996,CF20057,0.22318254223295197
912,471.0,[956.8991361804281 499.10637603300825 1271.522885303136 816.4349568378766],[1075.8287353515625 729.93896484375 1150.425537109375 767.923828125],0.5556166768074036,DLS6598,0.024937389904294074
1103,404.0,[972.5826957707827 307.35837520258326 1258.274644391884 619.7535569517976],[1092.8228759765625 561.666748046875 1149.84375 589.6566162109375],0.5651171207427979,CH?4424,0.018571770169091575
1253,425.0,[557.0649689274844 600.1546036265453 928.11174609813 966.9097693474238],[673.2027587890625 897.040771484375 770.88330078125 955.0767822265625],0.2595951557159424,JUW6627,0.23486879046273998
1327,517.0,[699.6309703081521 324.49871749865395 979.9339648781985 623.429789613843],[782.7467041015625 540.3784790039062 867.575439453125 581.9086303710938],0.46991243958473206,SOO0570,0.04451903550130958
1396,517.0,[505.77299829365177 601.6656348579602 927.2706910820194 1074.7979860109067],[632.4232177734375 997.3414306640625 756.873046875 1050.76318359375],0.6448862552642822,IEB8552,0.30609070973488234
1403,548.0,[1015.7573123050893 446.9640875245587 1335.8343638984334 748.6680367793672],[1147.748779296875 671.443115234375 1213.89208984375 718.9143676757812],0.3922566771507263,CLG8902,0.0724421497080519
1411,548.0,[1014.4362430387396 477.9197556310716 1351.5167747076525 795.3837441422161],[1147.9127197265625 729.200927734375 1221.0867919921875 763.5491943359375],0.606549859046936,GLH2353,0.01889180299333079
1415,548.0,[1014.2408759296644 499.2775487087233 1359.8549042789043 822.3592489966147],[1146.0771484375 745.6371459960938 1228.372314453125 794.73046875],0.4809357225894928,YOY0403,0.16649150868968768
1435,548.0,[1002.9703971215225 596.4933093567333 1395.79131760206 972.3590338529636],[1156.6820068359375 902.0930786132812 1246.2513427734375 944.5259399414062],0.6168085932731628,SAS8687,0.19997769114576702
1447,548.0,[995.2609998420187 665.0332940804883 1415.9493101491755 1076.0236406330596],[1158.25048828125 1010.0198364257812 1258.2052001953125 1058.553466796875],0.6451314687728882,IAX2003,0.21491798955424274
1448,620.0,[884.1220387221106 344.3558022285951 1191.9085608455025 681.4036479075596],[985.4020385742188 602.3875122070312 1074.13134765625 641.3919677734375],0.5589216351509094,IVU0401,0.06018644773781307
1478,620.0,[824.2702003290133 457.69590613136745 1191.788983310364 866.3942003298865],[942.23876953125 788.7130737304688 1045.0960693359375 833.35693359375],0.6480037569999695,JWI8801,0.06719270413335382
1483,620.0,[811.1081450541853 479.4337672414059 1191.4052570594763 901.1041203769563],[932.1004028320312 822.5679931640625 1041.694580078125 872.404541015625],0.6463753581047058,VZ_9305,0.21794583133890807
1554,586.0,[611.6450230006667 328.84245747158127 892.9101985809141 611.2011413485338],[705.9669189453125 541.8048095703125 766.700439453125 576.073486328125],0.5311499834060669,ATJ3308,0.15316186368180482
1566,586.0,[579.5763877525861 369.0566558729546 879.3247850490646 671.1707196443925],[676.72412109375 598.5833740234375 745.7770385742188 637.3572998046875],0.6050814390182495,GG25088,0.019811736209260918
1567,586.0,[577.3662787095207 372.0926420596193 879.2360170775305 675.7577879702101],[676.9656982421875 603.3037719726562 742.5042724609375 639.0750732421875],0.5954307913780212,SA@7588,0.09440015221641147
1570,586.0,[568.7193493298357 382.274516513189 875.2139499419943 690.7992259341615],[667.8883056640625 616.7710571289062 740.756103515625 654.7052001953125],0.5812506079673767,KD95318,0.16505169232977002
1577,586.0,[550.3339559585667 406.5391271343608 866.636985150256 727.9805904540319],[653.2078857421875 658.0032958984375 722.713623046875 692.1293334960938],0.5667077302932739,CEW2588,0.13484335908520861
1580,586.0,[541.1289318335341 417.71932329019904 862.7052389283251 746.7621608408033],[634.02294921875 665.0264892578125 722.105224609375 717.5526733398438],0.4566253125667572,YGA7580,0.015935944155309502
1596,586.0,[485.73073605440277 480.4559011086827 839.892659755981 852.1408131608179],[590.1849975585938 761.9470825195312 681.9746704101562 817.8301391601562],0.2637268006801605,ICK3831,0.1005273543695144
1599,586.0,[473.84077126508333 493.29167393150914 835.3837083687306 868.4814761985265],[583.562744140625 789.5696411132812 671.0086059570312 833.6995239257812],0.6068354249000549,REW7558,0.15845798721852425
1610,586.0,[429.7270926363064 548.5894086153787 815.5505595175516 951.544113087738],[546.88525390625 871.4848022460938 637.4513549804688 916.1563110351562],0.6307055950164795,ILG7520,0.07304329232119373
