frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
381,111.0,[761.8292699273225 552.9182333114059 1468.1366137315667 877.1838702157004],[781.1451416015625 754.8535766601562 856.5640869140625 795.1928100585938],0.3769341707229614,MIT5450,0.278677718591687
382,111.0,[746.7120260802303 551.7069518255901 1472.8619748087963 880.0074308218034],[772.52783203125 757.6790771484375 843.0942993164062 794.197998046875],0.2864087224006653,MIC5454,0.36345523870393615
10671,5900.0,[1417.5632411561405 368.4505115578005 1896.5735729505964 798.9558837716896],[1531.2406005859375 633.4957275390625 1657.65380859375 690.81396484375],0.6698057651519775,WAA1351,0.3443043672378148
